enemy_id,experiment_id,fitness,individual_gain
2,264,93.98936470590374,90
2,264,93.72700044143625,90
2,264,93.72700044143625,90
2,264,93.52700044143626,88
2,264,93.72700044143625,90
3,264,88.39342407327507,46
3,264,89.6137913760995,58
3,264,87.86660195700335,40
3,264,89.4137913760995,56
3,264,89.19342407327508,54
5,264,93.30192069107682,87.40000000000012
5,264,92.81642023266133,85.00000000000014
5,264,94.56936470590374,95.80000000000004
5,264,92.06951600496187,72.40000000000026
5,264,93.25297592783953,85.00000000000014
